ds,y
6/1/18,1294
6/2/18,633
6/3/18,755
6/4/18,461
6/5/18,169
6/6/18,180
6/7/18,286
6/8/18,186
6/9/18,145
6/10/18,127
6/11/18,257
6/12/18,786
6/13/18,501
6/14/18,330
6/15/18,296
6/16/18,233
6/17/18,399
6/18/18,418
6/19/18,395
6/20/18,356
6/21/18,552
6/22/18,123
6/23/18,88
6/24/18,161
6/25/18,357
6/26/18,904
6/27/18,553
6/28/18,495
6/29/18,451
6/30/18,370
7/1/18,313
7/2/18,481
7/3/18,406
7/4/18,323
7/5/18,1140
7/6/18,690
7/7/18,425
7/8/18,484
7/9/18,197
7/10/18,195
7/11/18,183
7/12/18,215
7/13/18,184
7/14/18,139
7/15/18,194
7/16/18,368
7/17/18,273
7/18/18,186
7/19/18,208
7/20/18,231
7/21/18,138
7/22/18,163
7/23/18,200
7/24/18,436
7/25/18,541
7/26/18,642
7/27/18,787
7/28/18,767
7/29/18,474
7/30/18,679
7/31/18,651
8/1/18,806
8/2/18,715
8/3/18,1022
8/4/18,511
8/5/18,517
8/6/18,876
8/7/18,752
8/8/18,609
8/9/18,544
8/10/18,539
8/11/18,302
8/12/18,352
8/13/18,561
8/14/18,819
8/15/18,684
8/16/18,679
8/17/18,376
8/18/18,331
8/19/18,312
8/20/18,339
8/21/18,362
8/22/18,390
8/23/18,336
8/24/18,297
8/25/18,207
8/26/18,312
8/27/18,361
8/28/18,363
8/29/18,307
8/30/18,290
8/31/18,309
9/1/18,250
9/2/18,309
9/3/18,368
9/4/18,267
9/5/18,250
9/6/18,255
9/7/18,302
9/8/18,250
9/9/18,271
9/10/18,295
9/11/18,317
9/12/18,308
9/13/18,289
9/14/18,326
9/15/18,252
9/16/18,243
9/17/18,355
9/18/18,555
9/19/18,435
9/20/18,723
9/21/18,313
9/22/18,243
9/23/18,297
9/24/18,312
9/25/18,294
9/26/18,386
9/27/18,519
9/28/18,458
9/29/18,287
9/30/18,301
10/1/18,289
10/2/18,259
10/3/18,265
10/4/18,323
10/5/18,4425
10/6/18,603
10/7/18,270
10/8/18,282
10/9/18,331
10/10/18,246
10/11/18,237
10/12/18,282
10/13/18,289
10/14/18,350
10/15/18,492
10/16/18,372
10/17/18,456
10/18/18,588
10/19/18,536
10/20/18,327
10/21/18,324
10/22/18,452
10/23/18,507
10/24/18,449
10/25/18,564
10/26/18,465
10/27/18,369
10/28/18,352
10/29/18,380
10/30/18,402
10/31/18,338
11/1/18,328
11/2/18,413
11/3/18,357
11/4/18,335
11/5/18,381
11/6/18,1098
11/7/18,351
11/8/18,575
11/9/18,456
11/10/18,455
11/11/18,433
11/12/18,583
11/13/18,664
11/14/18,983
11/15/18,974
11/16/18,766
11/17/18,886
11/18/18,776
11/19/18,1000
11/20/18,1112
11/21/18,6619
11/22/18,7259
11/23/18,14563
11/24/18,6033
11/25/18,5036
11/26/18,11078
11/27/18,4461
11/28/18,3673
11/29/18,613
11/30/18,520
12/1/18,393
12/2/18,449
12/3/18,459
12/4/18,411
12/5/18,487
12/6/18,456
12/7/18,526
12/8/18,491
12/9/18,556
12/10/18,786
12/11/18,335
12/12/18,273
12/13/18,1426
12/14/18,740
12/15/18,538
12/16/18,532
12/17/18,907
12/18/18,788
12/19/18,1854
12/20/18,1695
12/21/18,897
12/22/18,531
12/23/18,442
12/24/18,373
12/25/18,233
12/26/18,370
12/27/18,496
12/28/18,423
12/29/18,363
12/30/18,340
12/31/18,400
1/1/19,153
1/2/19,408
1/3/19,347
1/4/19,282
1/5/19,174
1/6/19,154
1/7/19,217
1/8/19,206
1/9/19,208
1/10/19,225
1/11/19,204
1/12/19,143
1/13/19,168
1/14/19,212
1/15/19,169
1/16/19,172
1/17/19,158
1/18/19,148
1/19/19,158
1/20/19,191
1/21/19,208
1/22/19,274
1/23/19,231
1/24/19,174
1/25/19,187
1/26/19,157
1/27/19,151
1/28/19,181
1/29/19,255
1/30/19,280
1/31/19,283
2/1/19,194
2/2/19,179
2/3/19,139
2/4/19,124
2/5/19,147
2/6/19,141
2/7/19,169
2/8/19,126
2/9/19,159
2/10/19,142
2/11/19,153
2/12/19,159
2/13/19,171
2/14/19,138
2/15/19,194
2/16/19,158
2/17/19,172
2/18/19,193
2/19/19,162
2/20/19,149
2/21/19,158
2/22/19,130
2/23/19,109
2/24/19,135
2/25/19,163
2/26/19,231
2/27/19,172
2/28/19,196
3/1/19,175
3/2/19,150
3/3/19,168
3/4/19,220
3/5/19,204
3/6/19,174
3/7/19,196
3/8/19,145
3/9/19,141
3/10/19,129
3/11/19,153
3/12/19,505
3/13/19,1114
3/14/19,1493
3/15/19,1511
3/16/19,398
3/17/19,660
3/18/19,240
3/19/19,146
3/20/19,162
3/21/19,111
3/22/19,120
3/23/19,128
3/24/19,107
3/25/19,133
3/26/19,129
3/27/19,152
3/28/19,268
3/29/19,150
3/30/19,151
3/31/19,128
4/1/19,148
4/2/19,167
4/3/19,147
4/4/19,1518
4/5/19,584
4/6/19,406
4/7/19,1076
4/8/19,197
4/9/19,198
4/10/19,184
4/11/19,224
4/12/19,175
4/13/19,116
4/14/19,138
4/15/19,205
4/16/19,222
4/17/19,233
4/18/19,288
4/19/19,238
4/20/19,173
4/21/19,126
4/22/19,2295
4/23/19,1081
4/24/19,3705
4/25/19,2849
4/26/19,935
4/27/19,744
4/28/19,677
4/29/19,834
4/30/19,1671
5/1/19,304
5/2/19,381
5/3/19,298
5/4/19,221
5/5/19,221
5/6/19,262
5/7/19,418
5/8/19,355
5/9/19,309
5/10/19,248
5/11/19,190
5/12/19,197
5/13/19,286
5/14/19,269
5/15/19,309
5/16/19,340
5/17/19,363
5/18/19,274
5/19/19,315
5/20/19,452
5/21/19,1167
5/22/19,2213
5/23/19,1783
5/24/19,1068
5/25/19,655
5/26/19,553
5/27/19,730
5/28/19,2052
5/29/19,1338
5/30/19,735
5/31/19,601
6/1/19,389
6/2/19,354
6/3/19,712
6/4/19,266
6/5/19,424
6/6/19,1324
6/7/19,1789
6/8/19,867
6/9/19,852
6/10/19,1015
6/11/19,1366
6/12/19,1308
6/13/19,1174
6/14/19,966
6/15/19,824
6/16/19,872
6/17/19,990
6/18/19,1080
6/19/19,1430
6/20/19,506
6/21/19,373
6/22/19,239
6/23/19,281
6/24/19,373
6/25/19,360
6/26/19,354
6/27/19,750
6/28/19,685
6/29/19,520
6/30/19,548
7/1/19,620
7/2/19,2289
7/3/19,1408
7/4/19,934
7/5/19,1020
7/6/19,746
7/7/19,783
7/8/19,1058
7/9/19,1912
7/10/19,2104
7/11/19,1774
7/12/19,1723
7/13/19,1264
7/14/19,889
7/15/19,1753
7/16/19,1389
7/17/19,1008
7/18/19,510
7/19/19,491
7/20/19,301
7/21/19,318
7/22/19,398
7/23/19,446
7/24/19,374
7/25/19,393
7/26/19,303
7/27/19,216
7/28/19,276
7/29/19,355
7/30/19,392
7/31/19,381
8/1/19,291
8/2/19,237
8/3/19,216
8/4/19,235
8/5/19,432
8/6/19,429
8/7/19,418
8/8/19,446
8/9/19,285
8/10/19,234
8/11/19,474
8/12/19,423
8/13/19,397
8/14/19,347
8/15/19,298
8/16/19,314
8/17/19,214
8/18/19,283
8/19/19,394
8/20/19,382
8/21/19,278
8/22/19,289
8/23/19,280
8/24/19,165
8/25/19,222
8/26/19,289
8/27/19,358
8/28/19,453
8/29/19,539
8/30/19,279
8/31/19,661
9/1/19,186
9/2/19,224
9/3/19,309
9/4/19,620
9/5/19,544
9/6/19,316
9/7/19,227
9/8/19,237
9/9/19,198
9/10/19,227
9/11/19,218
9/12/19,212
9/13/19,162
9/14/19,125
9/15/19,119
9/16/19,237
9/17/19,175
9/18/19,174
9/19/19,193
9/20/19,130
9/21/19,113
9/22/19,138
9/23/19,186
9/24/19,265
9/25/19,264
9/26/19,260
9/27/19,185
9/28/19,167
9/29/19,193
9/30/19,280
10/1/19,245
10/2/19,1844
10/3/19,1997
10/4/19,1576
10/5/19,356
10/6/19,283
10/7/19,309
10/8/19,447
10/9/19,375
10/10/19,383
10/11/19,326
10/12/19,312
10/13/19,336
10/14/19,391
10/15/19,373
10/16/19,368
10/17/19,395
10/18/19,400
10/19/19,314
10/20/19,348
10/21/19,389
10/22/19,542
10/23/19,539
10/24/19,1819
10/25/19,560
10/26/19,177
10/27/19,161
10/28/19,217
10/29/19,236
10/30/19,260
10/31/19,203
11/1/19,287
11/2/19,227
11/3/19,278
11/4/19,350
11/5/19,313
11/6/19,412
11/7/19,573
11/8/19,547
11/9/19,435
11/10/19,408
11/11/19,600
11/12/19,864
11/13/19,1456
11/14/19,1108
11/15/19,1109
11/16/19,908
11/17/19,830
11/18/19,1339
11/19/19,4127
11/20/19,2524
11/21/19,1871
11/22/19,1770
11/23/19,1330
11/24/19,1301
11/25/19,1272
11/26/19,1177
11/27/19,1416
11/28/19,6361
11/29/19,14140
11/30/19,4731
12/1/19,4781
12/2/19,12407
12/3/19,4961
12/4/19,3142
12/5/19,2022
12/6/19,1575
12/7/19,1272
12/8/19,1297
12/9/19,1639
12/10/19,1217
12/11/19,1540
12/12/19,1490
12/13/19,1371
12/14/19,949
12/15/19,1068
12/16/19,1432
12/17/19,1838
12/18/19,1549
12/19/19,1961
12/20/19,1278
12/21/19,1011
12/22/19,865
12/23/19,938
12/24/19,667
12/25/19,666
12/26/19,1572
12/27/19,1916
12/28/19,1302
12/29/19,1252
12/30/19,619
12/31/19,504
1/1/20,466
1/2/20,744
1/3/20,562
1/4/20,379
1/5/20,429
1/6/20,446
1/7/20,484
1/8/20,489
1/9/20,557
1/10/20,438
1/11/20,278
1/12/20,286
1/13/20,345
1/14/20,294
1/15/20,214
1/16/20,192
1/17/20,231
1/18/20,173
1/19/20,209
1/20/20,269
1/21/20,349
1/22/20,360
1/23/20,369
1/24/20,478
1/25/20,230
1/26/20,206
1/27/20,274
1/28/20,300
1/29/20,322
1/30/20,409
1/31/20,318
2/1/20,260
2/2/20,179
2/3/20,244
2/4/20,288
2/5/20,286
2/6/20,302
2/7/20,256
2/8/20,259
2/9/20,302
2/10/20,328
2/11/20,354
2/12/20,367
2/13/20,388
2/14/20,358
2/15/20,289
2/16/20,259
2/17/20,292
2/18/20,615
2/19/20,533
2/20/20,596
2/21/20,421
2/22/20,366
2/23/20,385
2/24/20,390
2/25/20,401
2/26/20,342
2/27/20,322
2/28/20,442
2/29/20,355
3/1/20,320
3/2/20,320
3/3/20,665
3/4/20,1246
3/5/20,1184
3/6/20,589
3/7/20,391
3/8/20,341
3/9/20,393
3/10/20,345
3/11/20,377
3/12/20,388
3/13/20,334
3/14/20,256
3/15/20,218
3/16/20,242
3/17/20,307
3/18/20,264
3/19/20,232
3/20/20,229
3/21/20,201
3/22/20,187
3/23/20,183
3/24/20,226
3/25/20,198
3/26/20,242
3/27/20,316
3/28/20,233
3/29/20,220
3/30/20,244
3/31/20,978
4/1/20,570
4/2/20,1018
4/3/20,487
4/4/20,317
4/5/20,321
4/6/20,428
4/7/20,744
4/8/20,649
4/9/20,817
4/10/20,631
4/11/20,357
4/12/20,306
4/13/20,410
4/14/20,431
4/15/20,632
4/16/20,1977
4/17/20,1410
4/18/20,817
4/19/20,748
4/20/20,824
4/21/20,2141
4/22/20,3338
4/23/20,1670
4/24/20,1685
4/25/20,968
4/26/20,894
4/27/20,1061
4/28/20,1360
4/29/20,1293
4/30/20,487
5/1/20,478
5/2/20,296
5/3/20,349
5/4/20,499
5/5/20,543
5/6/20,562
5/7/20,476
5/8/20,618
5/9/20,481
5/10/20,342
5/11/20,505
5/12/20,843
5/13/20,706
5/14/20,566
5/15/20,6308
5/16/20,505
5/17/20,414
5/18/20,527
5/19/20,1891
5/20/20,1686
5/21/20,13483
5/22/20,7977
5/23/20,3917
5/24/20,2665
5/25/20,2659
5/26/20,4646
5/27/20,3173
5/28/20,3141
5/29/20,2437
5/30/20,1633
5/31/20,1619
6/1/20,1292
6/2/20,1502
6/3/20,1250
6/4/20,1513
6/5/20,1522
6/6/20,1040
6/7/20,922
6/8/20,1392
6/9/20,1972
6/10/20,2185
6/11/20,1967
6/12/20,1111
6/13/20,749
6/14/20,697
6/15/20,1091
6/16/20,1305
6/17/20,1234
6/18/20,2319
6/19/20,1423
6/20/20,823
6/21/20,1012
6/22/20,1074
6/23/20,925
6/24/20,921
6/25/20,1341
6/26/20,953
6/27/20,762
6/28/20,805
6/29/20,1061
6/30/20,2848
7/1/20,1784
7/2/20,1985
7/3/20,1474
7/4/20,1018
7/5/20,1102
7/6/20,1283
7/7/20,2165
7/8/20,1815
7/9/20,773
7/10/20,741
7/11/20,510
7/12/20,452
7/13/20,639
7/14/20,601
7/15/20,697
7/16/20,709
7/17/20,597
7/18/20,610
7/19/20,585
7/20/20,672
7/21/20,1093
7/22/20,900
7/23/20,676
7/24/20,633
7/25/20,437
7/26/20,507
7/27/20,703
7/28/20,1662
7/29/20,1116
7/30/20,845
7/31/20,672
8/1/20,390
8/2/20,473
8/3/20,345
8/4/20,324
8/5/20,320
8/6/20,293
8/7/20,271
8/8/20,199
8/9/20,205
8/10/20,304
8/11/20,413
8/12/20,474
8/13/20,370
8/14/20,335
8/15/20,233
8/16/20,271
8/17/20,494
8/18/20,692
8/19/20,497
8/20/20,1865
8/21/20,735
8/22/20,421
8/23/20,503
8/24/20,603
8/25/20,634
8/26/20,514
8/27/20,1013
8/28/20,712
8/29/20,570
8/30/20,497
8/31/20,1291
9/1/20,2312
9/2/20,984
9/3/20,2269
9/4/20,926
9/5/20,486
9/6/20,438
9/7/20,524
9/8/20,807
9/9/20,662
9/10/20,808
9/11/20,474
9/12/20,379
9/13/20,410
9/14/20,335
9/15/20,571
9/16/20,467
9/17/20,1228
9/18/20,581
9/19/20,435
9/20/20,418
9/21/20,930
9/22/20,655
9/23/20,338
9/24/20,241
9/25/20,276
9/26/20,219
9/27/20,220
9/28/20,293
9/29/20,301
9/30/20,355
10/1/20,3309
10/2/20,2320
10/3/20,1191
10/4/20,936
10/5/20,1159
10/6/20,2495
10/7/20,7549
10/8/20,3828
10/9/20,2007
10/10/20,449
10/11/20,417
10/12/20,566
10/13/20,901
10/14/20,683
10/15/20,525
10/16/20,428
10/17/20,314
10/18/20,403
10/19/20,457
10/20/20,431
10/21/20,432
10/22/20,348
10/23/20,351
10/24/20,260
10/25/20,337
10/26/20,419
10/27/20,2721
10/28/20,886
10/29/20,705
10/30/20,877
10/31/20,604
11/1/20,807
11/2/20,925
11/3/20,1491
11/4/20,2479
11/5/20,9673
11/6/20,1759
11/7/20,556
11/8/20,501
11/9/20,770
11/10/20,971
11/11/20,810
11/12/20,813
11/13/20,821
11/14/20,741
11/15/20,734
11/16/20,1110
11/17/20,3653
11/18/20,3380
11/19/20,3388
11/20/20,2075
11/21/20,1432
11/22/20,1627
11/23/20,1646
11/24/20,1625
11/25/20,5446
11/26/20,3859
11/27/20,8549
11/28/20,2798
11/29/20,3517
11/30/20,9084
12/1/20,3445
12/2/20,4548
12/3/20,858
12/4/20,700
12/5/20,599
12/6/20,622
12/7/20,789
12/8/20,755
12/9/20,814
12/10/20,1027
12/11/20,686
12/12/20,624
12/13/20,587
12/14/20,1200
12/15/20,2118
12/16/20,1308
12/17/20,1089
12/18/20,800
12/19/20,609
12/20/20,594
12/21/20,943
12/22/20,5904
12/23/20,5216
12/24/20,672
12/25/20,476
12/26/20,684
12/27/20,645
12/28/20,734
12/29/20,1040
12/30/20,1340
12/31/20,1023
1/1/21,722
1/2/21,734
1/3/21,621
1/4/21,553
1/5/21,550
,